date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:51	3420586/3420586	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/nutergia/intro.jpg	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/nutergia/intro.jpg	(from https://mathieublok.co/project-nutergia.php)
01:19:53	386318/386318	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/sodexo/mobile-a.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/sodexo/mobile-a.png	(from https://mathieublok.co/project-sodexo.php)
01:19:54	434073/434073	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/sodexo/mobile-b.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/sodexo/mobile-b.png	(from https://mathieublok.co/project-sodexo.php)
01:19:54	212772/212772	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/sodexo/mobile-d.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/sodexo/mobile-d.png	(from https://mathieublok.co/project-sodexo.php)
01:19:54	470611/470611	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/fred/home.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/fred/home.png	(from https://mathieublok.co/project-photographer.php)
01:19:54	49996/49996	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/fred/menu.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/fred/menu.png	(from https://mathieublok.co/project-photographer.php)
01:19:54	222370/222370	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/sodexo/mobile-c.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/sodexo/mobile-c.png	(from https://mathieublok.co/project-sodexo.php)
01:19:55	106396/106396	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:42%20GMT	https://mathieublok.co/assets/img/projects/fred/backoffice.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/fred/backoffice.png	(from https://mathieublok.co/project-photographer.php)
01:20:27	1233897/1233897	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/skillcorner/home.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/skillcorner/home.png	(from https://mathieublok.co/project-skillcorner.php)
01:20:28	654694/654694	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/skillcorner/page-1.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/skillcorner/page-1.png	(from https://mathieublok.co/project-skillcorner.php)
01:20:28	765523/765523	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/skillcorner/page-2.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/skillcorner/page-2.png	(from https://mathieublok.co/project-skillcorner.php)
01:20:28	5031196/5031196	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/nutergia/homepage.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/nutergia/homepage.png	(from https://mathieublok.co/project-nutergia.php)
01:20:32	1308158/1308158	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/skillcorner/product.jpg	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/skillcorner/product.jpg	(from https://mathieublok.co/project-skillcorner.php)
